"","variable_code","short_name","long_name","quality","origin","var_type","grain","full_description","origin_tables","units","earliest_data"
"15",2,"Income","Income all sources","Good","IRD","continuous","person-period","This is just the ""income from all sources"" from the IDI_Clean.data.income_tax_yr_summary table, which ultimately comes from IRD's tax data.","IDI_Clean.data.income_tax_yr_summary","dollars",1995-03-31
"16",24,"Iwi","Iwi","Moderate","Census","category","person","Self-identified Iwi from the 2013 census, the only currently available information in the IDI.","IDI_Clean.cen_clean.census_individual , IDI_Sandpit.clean_read_CLASSIFICATIONS.CEN_IWI",NA,NA
"17",26,"Maori","Maori","Good","SNZ","category","person","Ethnicity as estimated by the best of the multiple sources available.","IDI_Clean.data.personal_detail",NA,NA
"18",29,"MELAA","Middle Eastern/Latin American/African","Good","SNZ","category","person","Ethnicity as estimated by the best of the multiple sources available.","IDI_Clean.data.personal_detail",NA,NA
"19",15,"Mental_health","Number of mental health and addictions interactions with services","Good","MOH and MSD","count","person-period","Counts each known interaction with a service with evidence that it was related to mental health and addictions,
		 based on a particular list of pharamceuticals, lab tests, hospitals, MSD (reason for incapacity), and PRIMHD.  Note that we are counting
		 very different things here, so the number of interactions should be treated only as indicative. The definition used for each of the five
		 is that published by the Social Investment Agency in mid 2017.  The pharmaceutical list used includes those marked by SIA as ""potential inclusion"".
		 See https://github.com/nz-social-investment-agency/mha_data_definition for the original definition.  There will be a better way of converting
		 the simple recording of the five types of events into estimates of type or degree of mental health and addictions challenge, suggestions welcomed.","IDI_Sandpit.intermediate.mha_events, which draws from the following data originally in IDI_Clean:
		moh_clean.primhd primhd, moh_clean.pub_fund_hosp_discharges_event, moh_clean.pub_fund_hosp_discharges, 
		moh_clean.pharmaceutical, moh_clean.lab_claims, msd_clean.msd_incapacity plus relevant metadata","number of interactions",1919-08-04
"20",33,"Number_known_parents","Number of parents recorded in the database","Poor","SNZ","count","person","Number of parents known and recorded in the IDI, as per the data.personal_detail table.  Note that alternative ways of estimating parents 
			give very different results (including high numbers of parent per person).","IDI_Clean.data.personal_detail",NA,NA
"21",13,"Offences","Number of criminal offences","Good","Pol","count","person-period","Counts one offence per criminal incident (""occurence"") for which there were court or non-court proceedings, per person, per march ye. 
		This differs from crime_victims, as it uses pre-count data ""occurrences"" instead of ""offences"". ""Occurrences"" are single incidents and can contain multiple ""offences"".
		The reasoning behind using occurences rather than offences is that the post-count for offenders only counts one offence per day (even if there were multiple offences or occurences). 
		We also would not want to count all pre-count offences, as there can be multiple offences associated with one occurence.
		Counting occurences seems like a more precise way of counting. In this case, each criminal incident is considered one offence.
		Note: uses date offender was proceeded against by Police, not neccessarily the date the incident occurred.","IDI_Clean.pol_clean.pre_count_offenders","number of offences",2010-03-31
"22",30,"Other","Other","Good","SNZ","category","person","Ethnicity as estimated by the best of the multiple sources available.","IDI_Clean.data.personal_detail",NA,NA
"23",27,"Pacif","Pacific Peoples","Good","SNZ","category","person","Ethnicity as estimated by the best of the multiple sources available.","IDI_Clean.data.personal_detail",NA,NA
"24",34,"Parents_income_birth_year","Income of parents in the year of birth","Poor","SNZ","continuous","person","Simple combination of the parents identified in data.personal_detail with the tax year summary data.  Note that if identifiying the parents 
			was poor, adding income information must be even poorer quality","IDI_Clean.data.personal_detail, IDI_Clean.data.income_tax_yr_summary",NA,NA
"25",17,"Placement_events","Number of child, youth and family placement events","Good","CYF","count","person-period","Simple count of all commencing placement events, ignoring their length.  No attempt has been made at this stage to remove duplicates or any other filtering.","IDI_Clean.cyf_placements_event","number of events",1900-01-01
"26",14,"Qualifications","Highest NQF level qualification","Good","MoE","category","person-period","Counts highest NQF qualification (moe_sql_nqf_level_code) recorded in secondary school, per person, per march ye.
		It currently does not take into account any qualifications obtained in previous years, eg. someone could have achieved Level 3 in one year, and Level 2 the next year.
		Nor does it populate any post secondary school years, ie. someone who is no longer in school will not have any current records. The only records currently showing will be for the years they completed qualifications in secondary school","IDI_Clean.moe_clean.student_qualification",NA,1900-03-31
"27",4,"Region","Region most lived in","Good","notifications","category","person-period","Address notifications have been used to estimate the meshblock at which each person on the spine was living on the 15th of each month, and this is stored 
as IDI_Sandpit.intermediate.address_mid_month.  These meshblock locations are joined to regions (ie Regional Councils) and aggregated by time period, and the region each individual
lived longest in during the time period is recorded.  In the event of ties (eg six months each in two regions, if the period is a year) a region is chosen at random from the top 
regions.  There is no continuous version of this variable, only the categorical value of the region.","IDI_Clean.data.address_notification, IDI_Sandpit.intermediate.address_mid_month, IDI_Sandpit.derived.dim_meshblock, 
IDI_Metadata.clean_read_CLASSIFICATIONS.CEN_REGC13",NA,2000-03-31
"28",5,"Resident","Resident on 30 June","Moderate","SNZ","category","person-period","This is the ""estimated resident population on 30 June"" estimates in IDI_Clean.data.snz_res_pop, for the 30 June that occurs in the given YE March.  No additional transformations have been made
		to the data in the original table.  The original table is based on estimates of time spent in New Zealand and demonstrable activity (income, education, etc) in the previous 12(??)
		months leading up to the 30 June. ","IDI_Clean.data.snz_res_pop",NA,2008-03-31
"29",22,"Sex","Sex","Good","SNZ","category","person","","IDI_Clean.data.personal_detail",NA,NA
"30",11,"TA","Territorial Authority most lived in","Good","notifications","category","person-period","Address notifications have been used to estimate the meshblock at which each person on the spine was living on the 15th of each month, and this is stored 
		as IDI_Sandpit.intermediate.address_mid_month.  These meshblock locations are joined to districts/cities (ie Territorial Authority) and aggregated by time period, 
		and the TA each individual lived longest in during the time period is recorded.  In the event of ties (eg six months each in two TAs, if the period is a year) a TA 
		is chosen at random from the top TAs.  There is no continuous version of this variable, only the categorical value of the TA.","IDI_Clean.data.address_notification, IDI_Sandpit.intermediate.address_mid_month, IDI_Sandpit.derived.dim_meshblock, 
		IDI_Metadata.clean_read_CLASSIFICATIONS.CEN_REGC13",NA,2000-03-31
